order_id,customer_id,vendor_id,order_date,product_category,order_amount,payment_method,delivery_status,customer_rating,region
ORD_00045,CUST_725,VEND_312,15-07-2024,Clothing,183.99,Credit Card,Rturnd,3.3,Europe
ORD_00046,CUST_832,VEND_454,07-13-2025,Clothing,334.63,cRedIt CARd,Delivered,3.4,Europe
ORD_00047,CUST_896,VEND_457,01-31-2023,Books,767.73,Credit Card,Delivered,1.8,North America
ORD_00048,CUST_727,VEND_121,03-01-2024,Clothing,863.86,debiT CARD,Cancelled,4.4,South America
ORD_00049,CUST_471,VEND_447,03-23-2024,Electronics,851.07,UPI,Cancelled,4.2,South America
ORD_00050,CUST_235,VEND_99,08-10-2024,Sports,858.12,UPI,Delivered,4,Africa
ORD_00051,CUST_47,VEND_116,17-09-2023,Home Decor,22.92,Cash,Returned,1.5,Europe
ORD_00052,CUST_157,VEND_284,27-04-2024,Books,,UPI,cAnceLlEd,4.1,South America
ORD_00053,CUST_752,VEND_36,07-14-2023,Spors,262.87,Cash,Delivered,1.6,Africa
ORD_00054,CUST_477,VEND_423,05-10-2025,Books,426.07,Cash,Returned,3.2,Asia
ORD_00055,CUST_634,VEND_227,15-08-2024,Electronics,995.98,Credit Card,Delivered,2.6,North America
ORD_00056,CUST_688,VEND_245,04-13-2024,Home Decor,428.75,PayPal,Cancelled,2.2,Africa
ORD_00057,CUST_164,VEND_434,18-03-2023,Groceries,380.4,UPI,Dlivrd,4.1,Africa
ORD_00058,CUST_135,VEND_19,28-06-2025,Books,873.74,PayPal,elivered,3,
ORD_00059,CUST_591,VEND_189,22-11-2024,cLOTHIng,764.26,PI,Returned,3.5,EuROpe
ORD_00060,CUST_458,VEND_241,15-04-2025,Home Decor,303.62,Credit Card,Cancelled,3.7,Africa
ORD_00061,CUST_720,VEND_282,03-18-2023,Electronics,391.84,UPI,Delivered,2.9,North America
ORD_00062,CUST_696,VEND_432,29-04-2024,Beauty,971.99,Debit Card,Cancelled,4.8,North America
ORD_00063,CUST_482,VEND_384,01-05-2024,Electronics,533.11,UPI,Cancelled,4.1,South America
ORD_00064,CUST_337,VEND_412,13-05-2024,Beauty,,Credit Card,Delivered,3.4,South America
ORD_00065,CUST_575,VEND_429,05-01-2024,Clothing,704.04,Debit Card,Returned,2.6,North America
ORD_00066,CUST_594,VEND_432,11-08-2023,Beauty,551.31,CrEDIt caRD,Deivered,2,Europe
ORD_00067,CUST_457,VEND_314,22-06-2023,Groceries,235.69,crEDIT caRd,Returned,3.3,South America
ORD_00068,CUST_112,VEND_33,08-28-2025,Electronics,456.57,UPI,Cancelled,1.3,Africa
ORD_00069,CUST_198,VEND_200,01-08-2025,spoRtS,136.01,Cash,Returned,4.9,North America
ORD_00070,CUST_919,VEND_48,03-05-2023,Groceries,586.23,PayPAL,Delivered,1.3,ASIa
ORD_00071,CUST_405,VEND_31,20-05-2024,Beauty,160.26,Debit Card,Returned,2.1,Europe
ORD_00072,CUST_72,VEND_385,07-09-2023,Clothing,565.87,Cedit Cad,Cancelled,2.1,Europe
ORD_00073,CUST_850,VEND_199,26-10-2024,Sports,272.7,Debit Card,Returned,4.7,
ORD_00074,CUST_140,VEND_30,08-29-2024,Electronics,934.47,Cash,Cancelled,3.7,Africa
ORD_00075,CUST_632,VEND_227,01-09-2025,Home Decor,726.21,Cash,Returned,4.3,North America
ORD_00076,CUST_250,VEND_288,02-03-2024,Home Decor,715.18,pAyPAl,Delivered,1.8,Africa
ORD_00077,CUST_189,VEND_102,12-06-2025,Electronics,941.44,PayPal,Delivered,4.6,Africa
ORD_00078,CUST_634,VEND_70,11-07-2023,Beauty,283.03,Credit Card,canCelLed,2.4,North America
ORD_00079,CUST_737,VEND_265,05-31-2024,Home Decor,,Debit Card,Cancelled,3.1,South America
ORD_00080,CUST_23,VEND_51,06-07-2025,Hoe Decor,519.99,Cash,Cancelled,1.7,South America
ORD_00081,CUST_592,VEND_380,01-31-2024,Sports,947.94,Credit Card,Cancelled,2.7,South America
ORD_00082,CUST_422,VEND_409,07-31-2025,Home Decor,47.27,PayPal,Returned,3.2,South America
ORD_00083,CUST_492,VEND_354,05-26-2025,Sports,257.81,UPI,DelivereD,3.7,ASiA
ORD_00084,CUST_491,VEND_383,19-07-2023,Clothing,890.44,Credit Card,Cancelled,1.3,aSia
ORD_00085,CUST_208,VEND_3,07-02-2024,Groceries,903.76,PayPa,Returned,4.6,Europe
ORD_00086,CUST_878,VEND_4,06-13-2023,Clothing,961.71,Debit Card,Cancelled,4.7,South America
ORD_00087,CUST_369,VEND_247,29-01-2025,Sports,758.26,Debit Card,Cancelled,3.9,Africa
ORD_00088,CUST_500,VEND_438,12-25-2023,Books,89.44,Cash,Returned,3.4,sOUtH America
ORD_00089,CUST_687,VEND_219,01-04-2024,Groceries,876.83,Cash,Delivered,5,Europe
ORD_00090,CUST_536,VEND_117,05-19-2024,Clothig,380.08,UPI,Returned,4.7,Africa
ORD_00091,CUST_69,VEND_144,05-11-2024,Books,130.07,dEbit card,Cancelled,2,Europe
ORD_00092,CUST_159,VEND_289,14-01-2024,Sports,783.62,Debit Card,Returned,2.4,Europe
ORD_00093,CUST_902,VEND_496,13-09-2023,Groceries,,crEDit CaRd,Returned,2.9,Asia
ORD_00094,CUST_785,VEND_376,12-29-2024,Beauty,475.18,upi,reTurNeD,3.1,
ORD_00095,CUST_919,VEND_388,03-07-2024,Sports,159.31,Debit Card,Returned,1.9,North America
ORD_00096,CUST_749,VEND_480,31-12-2024,Books,40.26,Debit Card,Delivered,3,Europe
ORD_00097,CUST_64,VEND_400,29-03-2025,Clothing,255.05,Debit Card,Delivered,5,North America
ORD_00098,CUST_537,VEND_292,01-01-2024,Beauty,356.21,UPI,Cancelled,2.9,Europe
ORD_00099,CUST_611,VEND_259,25-06-2025,Home Decor,318.19,PayPal,Returned,2.6,North America
ORD_00100,CUST_477,VEND_374,30-11-2023,Beauty,794.49,UPI,Cancelled,3.1,Asia
ORD_00101,CUST_767,VEND_483,30-06-2025,Books,648.99,UPI,Cancelled,4.1,aSiA
ORD_00102,CUST_901,VEND_176,01-12-2024,Books,142.42,ayal,Cancelled,1.8,Asia
ORD_00103,CUST_124,VEND_354,12-07-2024,Electronics,381.09,Debit Card,Returned,4.6,Europe
ORD_00104,CUST_479,VEND_376,16-08-2025,Groceries,863.56,PayPal,Returned,2.6,Asia
ORD_00105,CUST_88,VEND_497,03-10-2023,Electronics,615.17,UPI,Cancelled,1.9,Africa
ORD_00106,CUST_246,VEND_117,18-07-2025,Books,886.08,UPI,Canclld,3,Africa
ORD_00107,CUST_922,VEND_265,16-04-2023,Groceries,315.57,UPI,Delivered,2.7,North America
ORD_00108,CUST_167,VEND_91,03-17-2023,Groceries,756.73,Debit Card,CAncELleD,3.8,Africa
ORD_00109,CUST_220,VEND_133,15-07-2024,Electronics,171.28,UPI,Deliveed,4,North America
ORD_00110,CUST_113,VEND_276,02-05-2024,Beauty,41.55,PayPal,Delivered,4,Asia
ORD_00111,CUST_720,VEND_238,16-04-2025,Home Decor,117.14,Credit Card,Cancelled,4.6,Africa
ORD_00112,CUST_161,VEND_236,03-18-2024,Home Decor,916.06,upI,Delivered,1.4,sOUtH aMErICA
ORD_00113,CUST_489,VEND_186,21-10-2025,Beauty,570.54,Cash,Dlivrd,2.8,North America
ORD_00114,CUST_655,VEND_151,11-11-2024,Sports,70.32,UPI,rEtURNeD,5,Asia
ORD_00115,CUST_754,VEND_356,29-06-2025,Books,175.22,UPI,Returned,3.1,South America
ORD_00116,CUST_46,VEND_19,26-07-2025,Groceries,529.91,Debit Card,Cancelled,bad,Africa
ORD_00117,CUST_288,VEND_204,02-04-2023,Beauty,955.08,Cash,Delivered,4.3,Asia
ORD_00118,CUST_146,VEND_275,09-02-2024,Clothing,986.02,Cash,CAncElleD,4.4,North America
ORD_00119,CUST_541,VEND_492,04-08-2025,Sports,560.73,PayPal,Cancelled,2.3,Asia
ORD_00120,CUST_544,VEND_379,19-06-2025,Clothing,199.59,Cash,Delivered,3.5,Asia
ORD_00121,CUST_805,VEND_43,09-14-2024,Books,149.78,UPI,Returned,2.2,North America
ORD_00122,CUST_357,VEND_141,04-22-2023,bEAUTy,299.96,UPI,Cancelled,1.5,Asia
ORD_00123,CUST_963,VEND_293,18-02-2024,Books,414.45,Cash,Returned,4.3,North America
ORD_00124,CUST_110,VEND_475,12-27-2024,Home Decor,814.36,UPI,Delivered,3.8,Asia
ORD_00125,CUST_427,VEND_391,09-07-2025,Clothing,313.98,PayPal,Cancelled,1.8,South America
ORD_00126,CUST_236,VEND_425,25-03-2023,Electronics,787.44,UPI,Returned,4.2,North America
ORD_00127,CUST_770,VEND_442,12-09-2024,SPORTS,189.09,Cash,Cancelled,1.2,Asia
ORD_00128,CUST_282,VEND_255,07-30-2024,Groceries,364.44,Credit Card,Returned,4.3,North Amerca
ORD_00129,CUST_666,VEND_334,18-05-2025,booKS,640.77,Debit Card,Cancelled,2.5,North amerIca
ORD_00130,CUST_403,VEND_425,09-28-2023,Beauty,526.26,Cash,Delivered,3,Europe
ORD_00131,CUST_816,VEND_120,24-09-2023,Beauty,636.12,Cash,Cancelled,2.6,Asia
ORD_00132,CUST_843,VEND_323,25-09-2023,Home Decor,809.89,Credit Card,delivERED,1.6,North America
ORD_00133,CUST_186,VEND_448,25-08-2023,cLotHiNg,357.26,UPI,Cancelled,1.8,North America
ORD_00134,CUST_519,VEND_345,28-08-2023,Groceries,509.46,UI,Delivered,2.9,South America
ORD_00135,CUST_828,VEND_302,26-01-2023,Grocris,69.11,Debit Card,Returned,3,North America
ORD_00136,CUST_651,VEND_95,05-19-2023,ome Decor,782.52,Debit Card,Cancelled,1.2,North America
ORD_00137,CUST_383,VEND_422,03-07-2024,Home Decor,724.16,paypaL,Delivered,4.2,Asia
ORD_00138,CUST_53,VEND_418,08-07-2025,Beauty,335.5,Credit Card,Cancelled,4.8,North America
ORD_00139,CUST_925,VEND_77,18-09-2025,Beauty,840.65,Debit Card,Delivered,bad,Europe
ORD_00140,CUST_490,VEND_134,11-16-2024,Home Decor,126.02,PayPal,Cancelled,1.3,AsiA
ORD_00141,CUST_728,VEND_301,16-03-2025,Home Decor,,UPI,Delivered,3.4,Asia
ORD_00142,CUST_614,VEND_462,06-01-2025,eLeCtronIcs,938.31,payPAl,Returned,2.6,Asia
ORD_00143,CUST_251,VEND_442,07-06-2023,Clothing,70.71,Credit Card,Cancelled,4.9,North America
ORD_00144,CUST_519,VEND_69,10-05-2023,Clohing,664.76,Credit Card,cANCELleD,3.9,North America
ORD_00145,CUST_777,VEND_370,05-08-2025,Home Decor,180.96,Cash,Cancelled,2.8,South America
ORD_00146,CUST_643,VEND_477,30-04-2025,Beauty,169.84,Cash,Returned,3.6,Europe
ORD_00147,CUST_585,VEND_208,31-07-2024,Beauty,328.42,PayPal,Returned,3.7,SOutH aMeRICa
ORD_00148,CUST_70,VEND_466,11-22-2023,Clothing,645.39,Cash,dElIVerED,1.5,aFRIca
ORD_00149,CUST_401,VEND_271,09-10-2024,Groceries,596.71,PayPal,Canclld,4,South America
ORD_00150,CUST_817,VEND_200,04-23-2023,Electronics,276.6,Credit Card,Cancelled,4.5,nOrtH AmEricA
ORD_00151,CUST_152,VEND_473,07-04-2025,Electronics,275.04,Credit Card,Delivered,1.1,Europe
ORD_00152,CUST_790,VEND_425,15-06-2025,Home Decor,847.89,PayPal,Delivered,2.3,Asia
ORD_00153,CUST_136,VEND_279,19-09-2023,Groceries,164.57,Debit Card,Cancelled,2.6,Europe
ORD_00154,CUST_522,VEND_77,12-03-2025,spOrtS,368.57,Credit Card,Deivered,4.6,Africa
ORD_00155,CUST_208,VEND_160,07-07-2025,SPORTs,613.61,Credit Card,Cancelled,2.6,Africa
ORD_00156,CUST_821,VEND_63,29-04-2023,bOokS,685.9,PAYpaL,Returned,3.1,Africa
ORD_00157,CUST_812,VEND_90,09-19-2023,Clothing,880.04,Debit Card,Cancelled,3.5,AFRICA
ORD_00158,CUST_574,VEND_343,06-03-2023,Beauty,573.82,Debit Card,Cacelled,4.6,Africa
ORD_00159,CUST_177,VEND_303,09-10-2023,Spots,480.91,Credit Card,Cancelled,4.8,Europe
ORD_00160,CUST_46,VEND_500,21-06-2023,Beauty,301.85,Cash,Returned,,Africa
ORD_00161,CUST_994,VEND_74,23-11-2023,Groceries,98.02,UPI,Delivered,2.5,Asia
ORD_00162,CUST_609,VEND_380,09-17-2023,sporTs,544.38,DeBIt cArD,Delivered,2.8,North America
ORD_00163,CUST_555,VEND_96,03-06-2024,Groceries,176.02,PayPal,Delivered,1.9,Asia
ORD_00164,CUST_624,VEND_213,21-08-2023,Clothing,139.41,Debit Card,Cancelled,5,North America
ORD_00165,CUST_399,VEND_304,19-01-2024,gROcErieS,191.82,Credit Card,CaNCelLED,4.1,North America
ORD_00166,CUST_132,VEND_27,01-05-2024,Sports,826.87,Debit Card,Delivered,1.1,Africa
ORD_00167,CUST_681,VEND_420,13-06-2025,Beauty,107.09,Debit Card,Returned,1.3,South America
ORD_00168,CUST_142,VEND_243,26-03-2023,Electronics,941.5,Deit Card,Delivered,3.6,Europe
ORD_00169,CUST_729,VEND_392,08-07-2023,Books,251.78,dEBit CarD,Delivered,1.4,South America
ORD_00170,CUST_147,VEND_53,21-10-2025,Groceries,510.58,Credit Card,Delivered,2.7,North America
ORD_00171,CUST_503,VEND_37,03-21-2025,Beauty,285.6,Debit Card,Returned,1,North America
ORD_00172,CUST_88,VEND_249,09-14-2025,Beauty,838.77,Cash,Delivered,1.1,South America
ORD_00173,CUST_503,VEND_26,08-12-2023,Books,579.42,Cash,Returned,3.7,North America
ORD_00174,CUST_188,VEND_395,05-09-2024,Home Decor,118.94,Debit Cad,Cancelled,1.8,North America
ORD_00175,CUST_279,VEND_473,07-08-2023,BeaUTY,444.03,UPI,Delivered,4.7,Europe
ORD_00176,CUST_701,VEND_27,21-01-2023,Clothing,140.22,PaypAL,Returned,2.5,North America
ORD_00177,CUST_739,VEND_5,17-03-2024,cLOtHinG,748.25,Cash,Delivered,1.1,North America
ORD_00178,CUST_446,VEND_107,11-04-2025,Electronics,842.08,Credit Card,Cancelled,3.2,Noth Ameica
ORD_00179,CUST_551,VEND_204,06-02-2024,bEauTY,646.88,UPI,Cancelled,4.2,Africa
ORD_00180,CUST_518,VEND_488,06-16-2024,Beauty,360.64,UPI,Delivered,3.3,
ORD_00181,CUST_791,VEND_245,31-03-2023,ELEcTRonIcs,259.97,PayPal,Cancelled,3.1,Europe
ORD_00182,CUST_332,VEND_131,01-03-2023,Home Decor,73.57,Debit Card,Reurned,3,South America
ORD_00183,CUST_405,VEND_495,16-07-2024,Books,220.15,Cash,Returned,,South America
ORD_00184,CUST_923,VEND_341,02-13-2023,Electronics,222.23,PayPal,Returned,3.3,Africa
ORD_00185,CUST_121,VEND_461,18-04-2024,Home Decor,559.85,Cash,Delivered,1.9,Africa
ORD_00186,CUST_410,VEND_169,10-28-2023,Sports,767.18,Debit Card,Cancelled,4.1,Asia
ORD_00187,CUST_498,VEND_212,30-11-2024,Clothing,,Cash,Deivered,1.1,Asia
ORD_00188,CUST_953,VEND_142,24-06-2025,Beauty,499.93,Cash,Cancelled,3.6,Asia
ORD_00189,CUST_496,VEND_139,07-13-2023,Bks,728.99,Credit Card,Returned,4.3,Asia
ORD_00190,CUST_26,VEND_334,14-08-2024,Home Decor,322.42,UPI,Cancelled,1.8,
ORD_00191,CUST_524,VEND_479,28-03-2024,Clothing,479.06,Credit Card,Cacelled,,South America
ORD_00192,CUST_50,VEND_426,03-06-2025,Groceries,131.44,PayPal,Delivered,2.2,aSia
ORD_00193,CUST_324,VEND_421,21-11-2023,Groceries,743.94,Debit Card,Deliveed,3.7,Africa
ORD_00194,CUST_10,VEND_317,26-07-2024,Home Decor,842.41,Cash,Delivered,2,Asia
ORD_00195,CUST_567,VEND_101,20-01-2024,Books,537.93,Cash,Returned,3.1,Europe
ORD_00196,CUST_352,VEND_423,18-05-2024,Beauty,400.97,Credit Card,RETURNed,4.4,Asia
ORD_00197,CUST_575,VEND_50,13-02-2024,Books,423.2,PayPal,Returned,2.1,North America
ORD_00198,CUST_467,VEND_67,07-21-2025,Home Decor,608.81,Cash,Deivered,4.3,Africa
ORD_00199,CUST_583,VEND_446,01-16-2024,Beauty,625.97,crEDit CARD,Cacelled,2.1,North America
ORD_00200,CUST_909,VEND_91,19-07-2025,Sports,,PayPal,Cancelled,2,Asia
ORD_00201,CUST_595,VEND_440,29-08-2023,Clothing,206.54,UPI,Delivered,4.7,Asia
ORD_00202,CUST_563,VEND_473,05-20-2023,Sports,223.08,PayPal,Delivered,1.6,Asia
ORD_00203,CUST_995,VEND_238,29-04-2025,Sports,348.96,Cash,Cancelled,2.5,South America
ORD_00204,CUST_183,VEND_255,03-22-2024,ports,962.7,Credit Card,Delivered,2.3,North America
ORD_00205,CUST_236,VEND_416,04-02-2024,Beauty,867.19,Debit Card,Returned,4.6,Europe
ORD_00206,CUST_99,VEND_17,05-13-2025,SpOrts,993.77,UPI,DELivEreD,3.2,Europe
ORD_00207,CUST_856,VEND_334,11-08-2023,Sports,971.9,Cash,Deliered,1.9,Afrca
ORD_00208,CUST_354,VEND_241,10-09-2025,Sports,687.68,Cash,Returned,2.3,Asia
ORD_00209,CUST_503,VEND_499,18-07-2024,Books,729.17,PayPal,Delivered,4.4,South America
ORD_00210,CUST_118,VEND_361,03-03-2025,Books,756.08,UPI,Cancelled,3.6,Europe
ORD_00211,CUST_151,VEND_466,14-06-2024,Sports,438.32,Credit Card,Returned,3.8,Europe
ORD_00212,CUST_333,VEND_142,13-02-2025,Beauty,144.48,PayPal,Returned,3.8,South America
ORD_00213,CUST_133,VEND_6,03-05-2023,Clothing,645.45,Dbit Card,Returned,4.3,Asia
ORD_00214,CUST_70,VEND_162,27-06-2024,Electronics,169.73,Credit Card,Cancelled,3.9,North America
ORD_00215,CUST_945,VEND_360,20-05-2023,Groceries,587.5,UPI,Returned,2,Europe
ORD_00216,CUST_187,VEND_267,30-08-2023,Home Decor,,Debit Card,Returned,4.6,Asia
ORD_00217,CUST_324,VEND_268,07-04-2023,Beauty,389.71,Cash,Cancelled,3.5,North merica
ORD_00218,CUST_270,VEND_55,22-02-2023,Beauty,998.36,CrEDIT carD,Retuned,3.9,North America
ORD_00219,CUST_32,VEND_73,16-12-2023,gROcerIes,743.58,PayPal,Returned,3.9,NORth AMErIcA
ORD_00220,CUST_588,VEND_341,11-27-2023,Beauty,861.03,Debit Card,Returned,3,Asia
ORD_00221,CUST_48,VEND_22,22-09-2024,Spors,733.78,PayPal,Cancelled,2,Europe
ORD_00222,CUST_40,VEND_324,10-20-2024,Beauty,734.53,PayPal,Returned,2.1,South America
ORD_00223,CUST_288,VEND_166,15-11-2024,HOME decOr,649.27,DebitCard,Cancelled,4,Africa
ORD_00224,CUST_713,VEND_158,11-11-2023,Beauty,,Cash,Cancelled,2,
ORD_00225,CUST_948,VEND_336,26-10-2023,Electronics,811.62,Cash,Returned,2,Africa
ORD_00226,CUST_224,VEND_245,03-08-2024,Sports,622.24,Debit Card,Dlivrd,3.8,Noth Ameica
ORD_00227,CUST_175,VEND_245,08-05-2025,Beuty,672.06,Debit Card,Returned,4.9,Europe
ORD_00228,CUST_668,VEND_408,07-15-2024,Electronics,170.53,Credit Card,Retuned,2.2,Africa
ORD_00229,CUST_999,VEND_443,15-05-2025,Groceries,557.96,PayPal,Delivered,3.1,Asia
ORD_00230,CUST_667,VEND_5,13-09-2025,ClOTHinG,30.63,Cash,Cancelled,2.4,Africa
ORD_00231,CUST_540,VEND_132,02-07-2025,Clothing,800.76,Cash,Delivered,1.5,Africa
ORD_00232,CUST_454,VEND_387,07-31-2025,Clothing,180.16,Credit Card,Cancelled,2.6,South America
ORD_00233,CUST_68,VEND_94,09-01-2023,Beauty,356.72,cASH,Returned,1.2,North America
ORD_00234,CUST_251,VEND_24,10-05-2023,Beauty,,Credit Card,Delivered,2.2,Asia
ORD_00235,CUST_659,VEND_339,05-05-2025,Groceries,315.07,PayPal,Delivered,4.7,South America
ORD_00236,CUST_83,VEND_124,10-12-2023,Groceries,109.82,Debit Card,DEliVERed,2.4,Asia
ORD_00237,CUST_271,VEND_63,29-12-2023,Beauty,641.36,Credit Card,Returned,4,Africa
ORD_00238,CUST_304,VEND_266,05-04-2024,Beauty,651.89,Credit Card,Returned,4.7,Africa
ORD_00239,CUST_455,VEND_481,24-05-2025,Clothing,952.31,Credit Card,Cancelled,3.1,North America
ORD_00240,CUST_138,VEND_400,08-02-2025,Books,829.47,DebIT Card,Cancelled,4.7,North America
ORD_00241,CUST_44,VEND_320,25-09-2024,Electronics,992.61,PaPal,Cancelled,1.7,NORTH AmEriCa
ORD_00242,CUST_641,VEND_108,14-01-2024,Beauty,504.98,Debit Card,Returned,1.2,Africa
ORD_00243,CUST_792,VEND_462,28-08-2024,Boos,954.54,Cash,Cancelled,4.2,SoutH AMERIca
ORD_00244,CUST_657,VEND_476,01-04-2023,Groceries,139.19,Cash,Canclld,1.4,Europe
ORD_00245,CUST_983,VEND_214,14-04-2023,Sports,746.44,Debit Card,Returned,3,soUtH AMERica
ORD_00246,CUST_272,VEND_100,11-25-2023,Electronics,883.87,PayPal,DELivERED,3.3,South America
ORD_00247,CUST_532,VEND_353,10-11-2023,Sports,405.81,Credit Card,deLIVERed,bad,Europe
ORD_00248,CUST_825,VEND_250,03-04-2024,Sports,218.79,Credit Card,delivered,4,Asia
ORD_00249,CUST_504,VEND_179,04-22-2024,Groceries,814.01,PayPal,Returned,3.7,AfRicA
ORD_00250,CUST_360,VEND_186,12-04-2024,Clothing,773.95,Credit Card,Returned,3.5,Africa
ORD_00251,CUST_377,VEND_410,02-19-2024,Cothing,51.25,UPI,Delivered,2.5,Asia
ORD_00252,CUST_458,VEND_94,24-06-2025,electROnics,551.89,Credit Card,Delivered,2.9,Africa
ORD_00253,CUST_766,VEND_10,16-08-2025,Sports,32.62,UPI,Returned,3.1,eurOPe
ORD_00254,CUST_783,VEND_82,03-27-2023,Sports,75.7,UPI,REturNED,2.6,South America
ORD_00255,CUST_283,VEND_150,04-10-2023,hOMe decor,293.5,PayPal,Delivered,2.3,Europe
ORD_00256,CUST_779,VEND_374,10-11-2024,Groceries,98.03,caSh,Delivered,3.8,Asia
ORD_00257,CUST_814,VEND_33,02-11-2023,Books,954.05,PayPal,Delivered,4.7,South America
ORD_00258,CUST_377,VEND_77,27-12-2023,Sports,721.07,Credit Card,Returned,3,North America
ORD_00259,CUST_204,VEND_455,18-10-2023,Electronics,302.25,Credit Card,Returned,3,Europe
ORD_00260,CUST_845,VEND_72,04-01-2023,Electronics,618.11,Cash,Cancelled,4.6,Asa
ORD_00261,CUST_575,VEND_303,18-01-2023,Clothing,357.14,Debit Card,Delivered,2.7,South America
ORD_00262,CUST_766,VEND_489,25-03-2024,Books,850.14,UPI,Delivered,2.6,Europe
ORD_00263,CUST_376,VEND_246,10-03-2024,Groceries,828.61,Cash,reTUrNeD,1.1,Asia
